requirement_id,summary,source,status,design_element,verification,evidence,revision,owner,notes
SWE-007,"front/right/top/isometric views are reviewed for every release candidate",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,"output/validation/rev15/views/","local render + visual review","output/validation/rev15/views/*.png (rev15 current evidence pack; rev13 retained as history)",DRAFT,IMPLEMENTER,"D-040: fixed a Z-buffer tie-break defect in scripts/render_validation_views.py that made coplanar cladding-over-rail concealment invisible in every PNG since rev5 (geometry was always correct, only the render was wrong); rev11 was the first revision where cladding-over-rail concealment became visible; rev15 is current evidence revision"
MFG-001,"Material and thickness are specified per part",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,config/parameters.yaml materials.*; src/stand_cad/geometry/registry.py,"parameter provenance review","PartRecord.material assignments across registry",DRAFT,IMPLEMENTER,"Concept-stage material/thickness midpoints used where ranges exist; several leaves to_measure"
MFG-002,"Finish, colour, texture, masking, and cosmetic class are specified",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,"","","",DRAFT,USER,"White opal PMMA implied; no formal cosmetic class or masking specification"
MFG-003,"Tolerances and critical-to-function dimensions are explicit",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,config/parameters.yaml tolerance.*,"parameter review","tolerance.assembly_mm/part_cnc_laser_mm/part_assembly_feature_mm in parameters.yaml",DRAFT,IMPLEMENTER,"Assembly and part tolerances recorded; critical-to-function dimension list not complete for manufacturing"
MFG-004,"Minimum hole-edge/bend distances and tool access are reviewed",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,"","","",DRAFT,USER,"No DFM hole-edge/bend-distance review performed; DXF is REFERENCE_ONLY without bend data"
MFG-005,"Weld distortion, access, grinding, and cosmetic requirements are reviewed",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,"","","",DRAFT,USER,"Sheet-metal/aluminium frame concept; weld/grinding requirements not specified — largely N/A at concept stage"
MFG-006,"Bought-in hardware uses orderable part identifiers",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,config/parameters.yaml hardware.*; joints.*; trays.*,"parameter review + JOIN-001 sheet","tests/test_geometry.py::test_weld_free_joint_registry",DRAFT,IMPLEMENTER,"D-061 nominal M3/M4 sizes encoded; rivnut brands, exact lengths, torques, slide part numbers still to_measure — manufacturer DFM expected"
MFG-007,"Target manufacturer DFM response archived",ADR-003,BLOCKED,review/vendor_dfm/,"document review","",DRAFT,USER,"Requires authorized vendor process"
MFG-008,"Sheet-metal flat-pattern ownership and bend parameters are confirmed",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,scripts/generate_drawings.py DXF export,"document review","output/validation/rev15/dxf/*_REFERENCE_ONLY_rev15.dxf (flat 2D outline only — no bend data)",DRAFT,USER,"DXF extraction is reference-only; manufacturer flat-pattern ownership and bend parameters unconfirmed"
MFG-009,"Prototype inspection plan and measurement tools are defined",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,"","","",DRAFT,USER,"No prototype inspection plan or measurement-tool specification"
MEC-001,"Load path from every device to floor is explicit",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,src/stand_cad/geometry/frame.py; trays.py; panels.py,"geometry load-path review","frame rails + tray panels + feet placement in assembly",DRAFT,IMPLEMENTER,"Load paths implicit in geometry; no formal load-path diagram or rated connection review"
MEC-002,"Shelves/supports have rated loads and deflection acceptance",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,src/stand_cad/geometry/analysis.py; config/parameters.yaml trays.*; film_storage_horizontal.*,"indicative deflection model + TZ load limits","PLT-011; tests/test_geometry.py organizer load parameters",DRAFT,IMPLEMENTER,"TZ design loads recorded; deflection check indicative only (not FEA)"
MEC-003,"Casters have verified type, diameter, brake arrangement, mounting, and capacity with engineering margin",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,config/parameters.yaml materials.foot_height_*; hardware.foot_diameter_mm,"N/A review","",DRAFT,USER,"Not applicable to current configuration (checklist 2026-08-04): stationary desktop tower with feet, not a mobile floor stand with casters; successor concerns tracked under MEC-001/MEC-004/PLT-010"
MEC-004,"Worst-case centre of mass and tipping cases are evaluated in operating and transport modes",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,src/stand_cad/geometry/analysis.py; tests/test_geometry.py,"indicative static-moment model + CoM tests","PLT-010; PLT-019; tests/test_geometry.py::test_handle_mount_y_at_loaded_com",DRAFT,IMPLEMENTER,"Indicative tip-over model only; broader lean/dual-tray cases fail TZ floor — see PLT-010 notes; not Gate G4 authoritative"
MEC-005,"Dynamic transport cases and thresholds/ramps are considered",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,"","","",DRAFT,USER,"No dynamic transport/shock/ramp analysis performed"
MEC-006,"Doors, drawers, extensions, and presses cannot create uncontrolled tipping",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,src/stand_cad/geometry/kinematics.py; analysis.py,"discrete-state interlock + indicative stability","PLT-009; PLT-010",DRAFT,IMPLEMENTER,"Tray interlock at discrete states only; dual-tray-extended indicative factor 0.924 < 1.5 (PLT-010)"
MEC-007,"Restraint, latch, hinge, and handle loads are defined",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,config/parameters.yaml hardware.handle_*; src/stand_cad/geometry/panels.py,"CAD placement + CoM alignment tests","PLT-019; tests/test_geometry.py::test_handle_mount_y_at_loaded_com; tests/test_geometry.py::test_handle_mount_z_lowest_sightline_feasible",DRAFT,IMPLEMENTER,"Handle placement deviated from TZ CoM rule (D-051); handle load rating and hinge modeling not complete"
MEC-008,"Sharp edges, pinch/shear points, and hot-contact zones are mitigated",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,src/stand_cad/geometry/panels.py _subtract_rounded_through_y; config/parameters.yaml media_path.rear_channel_edge_break_radius_mm,"geometry edge-break review + handle intrusion check","PLT-027; D-084 tier-2 finger-intrusion ≈1,515,402 mm³ tracked in docs/10_USER_INPUT_REQUIRED.md",DRAFT,IMPLEMENTER,"R1 rear-channel edge break applied (D-046); soft-brush requirement deviated (PLT-027); handle cutout finger intrusion unresolved"
MEC-009,"Fasteners, inserts, welds, adhesives, and serviceability are specified",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,config/parameters.yaml joints.*; hardware.fastener_*; docs/15_ASSEMBLY_INSTRUCTIONS.md,"document review + joint registry tests","tests/test_geometry.py joint registry; docs/15_ASSEMBLY_INSTRUCTIONS.md; D-061; D-065 adhesive-free",DRAFT,IMPLEMENTER,"Weld-free adhesive-free joint catalogue (D-061/D-065): M3/M4 pan-head + rivnuts + corner brackets; §P CLOSED (3×M4/cleat); install torques/grip lengths to_measure — not production-released"
THE-001,"Heat sources and temperatures/duty cycle are recorded",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,config/parameters.yaml thermal.* (constants only),"no thermal model in repository","",DRAFT,USER,"Thermal budget constants exist in parameters.yaml; no heat-source inventory or duty-cycle analysis module under src/"
THE-002,"Ventilation design is based on evidence or conservative analysis and test",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,config/parameters.yaml hardware.vent_slot_*,"no thermal/airflow analysis","",DRAFT,USER,"Vent slots modeled geometrically only; no ventilation design analysis or test evidence"
THE-003,"Hot equipment is separated from heat-sensitive devices and combustibles",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,"","","",DRAFT,USER,"No thermal separation analysis; adapter/lighting service volumes are geometric placeholders only"
ELE-001,"Total and peak electrical load are recorded",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,config/parameters.yaml lighting.max_power_w,"no electrical load analysis","",DRAFT,USER,"Lighting max_power_w constant only; no total/peak load accounting for plotters or distribution"
ELE-002,"Power distribution, protective devices, earthing, strain relief, and cable routing receive qualified review",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,src/stand_cad/geometry/services.py SVC-CABLE-PASSTHROUGH-001 (certified MAINS-INLET path deferred per D-036; not modeled per D-071),"no engineered electrical arrangement","",DRAFT,USER,"Certified MAINS-INLET path deferred/not modeled (D-036/D-071); SVC-CABLE-PASSTHROUGH-001 is geometric grommet only — no qualified electrical review"
ELE-003,"External cable entry/exit and trip-risk controls are defined",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,src/stand_cad/geometry/panels.py; services.py; D-047 cable relocation,"geometry placement only","tests/test_geometry.py (cable passthrough clearance); D-047 right-side entry Y=320/Z=120",DRAFT,IMPLEMENTER,"Cable entry geometry placed; trip-risk controls and qualified cable-management review not performed"
PLT-001,"Overall case envelope is 650 x 550 x 690 mm","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:499",DEVIATED,"config/parameters.yaml case.{width,depth,height}","CAD bounding-box measurement; PARAM-006","tests/test_geometry.py::test_overall_assembly_bounding_box; current envelope 650×420×529 mm (D-045 depth, D-058 height-stack)",DRAFT,IMPLEMENTER,"Owner 2026-08-04 PLT-007: width 650 unchanged; height derived 517 mm (was TZ 690) from horizontal shelf stack; D-038 height-stack correction: case.height 544 mm (historical); D-058: 544→529 mm after shelf-support + rear bullnose trim; D-045 depth 550→420 mm (owner within 350-450 mm range). Current envelope 650×420×529 mm"
PLT-002,"Both plotters have physical envelope 566 x 176 x 124 mm","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:500",DEVIATED,"src/stand_cad/geometry/equipment.py; plotter_cameo4/5","CAD bounding-box measurement","tests/test_geometry.py::test_plotter_physical_bodies; slot1 Cameo 4 570×195×170 mm governs (D-029); slot2 Cameo 5 566×176×124 mm",DRAFT,IMPLEMENTER,"Governing machine Silhouette Cameo 4 per manufacturer spec sheet; Cameo 5 remains slot-2 mass/envelope reference"
PLT-003,"Plotter 2 is set back exactly 150 mm from plotter 1","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:501",DEVIATED,"config/parameters.yaml plotter.upper_setback","CAD placement measurement","tests/test_geometry.py::test_plotter_front_faces_aligned_from_built_geometry (0 mm measured)",DRAFT,IMPLEMENTER,"Owner 2026-08-04 override (D-033): setback removed, upper_y=lower_y=15 mm (0 mm offset); supersedes 130 mm interim (D-029) and TZ 150 mm; tier-2 access solved via trays.lower_quick_access_extension_mm on tier 1 instead"
PLT-004,"Internal film organizer clear volume is at least 610 x 510 x 325 mm","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:502",DEVIATED,"src/stand_cad/geometry/organizer.py; dividers.py","CAD clear-volume + open top/front checks","tests/test_geometry.py::test_organizer_clear_volume (610×330×106 horizontal); test_horizontal_organizer_compartments_bounded_by_walls (D-031)",DRAFT,IMPLEMENTER,"Owner 2026-08-04 PLT-007: horizontal flat storage 610×330 mm footprint ×106 mm stack (4×25 mm + dividers); supersedes vertical 510×325"
PLT-005,"The 320 x 500 mm vertical film test envelope stands vertically and does not intersect the case","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:503",DEVIATED,"src/stand_cad/geometry/assembly.py; dividers.py; frame.py","CAD collision per shelf + front-withdrawal sweep","tests/test_geometry.py::test_film_bodies_no_adjacent_intersection; test_film_body_front_withdrawal_clears_front_left_post; flat FILM-BODY per shelf",DRAFT,IMPLEMENTER,"Owner 2026-08-04 PLT-007: horizontal flat 500 mm sheet edge along X (330×500 stock); vertical 10-cell test envelope superseded; D-037 film-post notch for front withdrawal"
PLT-006,"Default configuration creates 10 vertical cells about 59.2 mm wide","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:504",DEVIATED,"config/parameters.yaml film_storage_horizontal","Unit + geometry tests","tests/test_parameters.py shelf_count=4; SHELF-000..002 bbox; D-031 vertical cell arithmetic archived",DRAFT,IMPLEMENTER,"Owner 2026-08-04 PLT-007: 4 horizontal shelves 25 mm clear height; vertical 10-cell formula retired (see D-031 for rightmost-cell investigation)"
PLT-007,"Both material test bodies pass through both levels without collisions","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:505",IN_PROGRESS,"src/stand_cad/geometry/services.py; kinematics.py","CAD sweep at multiple Y positions","tests/test_geometry.py::test_media_path_body_sweep_no_unintended_contact; test_operating_state_front_rear_pass_through_open",DRAFT,IMPLEMENTER,"Closed case cannot fit 907 mm cut travel (D-028); pass-through via front+rear openings in operating state"
PLT-008,"Each plotter's lid fully opens in the service position","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:506",IN_PROGRESS,"src/stand_cad/geometry/trays.py (LID-ENVELOPE-*)","CAD clearance in service states","tests/test_kinematics.py::test_lid_envelope_no_intersection_in_service_states",DRAFT,IMPLEMENTER,"Provisional lid envelope; VERIFY ON REAL MACHINE; hinge not modeled"
PLT-009,"Both trays cannot be fully extended at the same time (mechanical interlock)","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:507",IN_PROGRESS,"src/stand_cad/geometry/kinematics.py","Boolean interference at discrete states","tests/test_kinematics.py::test_interlock_*; A-011 deferral",DRAFT,IMPLEMENTER,"Discrete-state proof only; continuous swept proof deferred"
PLT-010,"Tip-over stability factor is at least 1.5","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:508",IN_PROGRESS,"src/stand_cad/geometry/analysis.py","Indicative analytical check (narrow baseline model only)","tests/test_geometry.py::test_indicative_tip_factor_non_authoritative; output/validation/rev15/stability_report.md",DRAFT,IMPLEMENTER,"Indicative split-mass static model (D-039 + A-017 + D-063 mass): lower@250 mm finite baseline only — upper N/A at zero travel (D-076/D-077). Independent adversarial review: 20 N lateral lean → 1.434; both trays extended → 0.924 — both below TZ 1.5 floor. NOT authoritative for Gate G4"
PLT-011,"Each tray's deflection under the 10 kg design load is at most 1.5 mm","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:509",IN_PROGRESS,"src/stand_cad/geometry/analysis.py","Three-rail conservative half-span indicative model (D-035)","output/validation/rev15/deflection_report.md (centre slide bisects 570 mm span; ≈0.228 mm vs 1.5 mm ceiling; E to_measure, fail threshold ≈456 MPa; indicative model unchanged from D-035)",DRAFT,IMPLEMENTER,"Indicative pass under conservative model — NOT FEA; youngs_modulus to_measure"
PLT-012,"Calculated empty-case mass is at most 12 kg","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:510",IN_PROGRESS,"src/stand_cad/geometry/analysis.py; src/stand_cad/geometry/panels.py; scripts/generate_mass_report.py","Indicative shell mass from volumes × densities; cavity-wall side slabs (D-055)","output/validation/rev15/mass_report.csv; header honesty D-078; indicative totals NOT authoritative for Gate G4",DRAFT,IMPLEMENTER,"Indicative structural total tracked in rev15 mass_report; header no longer claims removed MAINS/INTERLOCK/EDGEGUARD present (D-078); G4 sign-off not claimed"
PLT-013,"Case has one external mains inlet and contains no laptop or router","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:511",DEVIATED,"src/stand_cad/geometry/services.py (SVC-CABLE-PASSTHROUGH-001); panels.py (_subtract_cable_passthrough)","Registry scan + through-cut probe","tests/test_geometry.py::test_registry_no_mains_inlet_placeholder_*; test_cable_passthrough_through_cut; test_cable_passthrough_bore_clear; test_cable_passthrough_grommet_clears_neighbours",DRAFT,IMPLEMENTER,"Owner 2026-08-04 override (D-036): prototype uses a simple grommeted cable pass-through hole, not the TZ section 10 certified rear mains inlet with retention/strain relief feeding an internal distributor; certified MAINS-INLET path deferred/not modeled (D-036/D-071 — placeholder solid removed); cable relocated to right panel per D-047 (Y=320/Z=120); cable_passthrough_diameter_mm/grommet_wall_mm provisional to_measure (A-015); edge_break_radius_mm verified TZ:472 R1"
PLT-014,"Lighting is uniform white-case RGBW illumination, not a display","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:512",IN_PROGRESS,"src/stand_cad/geometry/services.py (LIGHT-STRIP-001, CTRL-RGBW-001)","Service-volume placement only","geometry includes LIGHT-STRIP-001 service_volume on top shelf band",DRAFT,IMPLEMENTER,"Indicative/partial — no photometric review; lighting volumes only"
PLT-015,"FCStd/STEP/DXF/PDF/BOM files and check reports are produced (see ADR-005 mapping: STEP/DXF/PDF/BOM/reports under output/)","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:513",IN_PROGRESS,"scripts/generate_model.py; scripts/generate_drawings.py; output/concept/; output/validation/rev15/","STEP export + rev15 renders + PRELIMINARY PDF/DXF/BOM","tests/test_geometry.py::test_step_export_readback; tests/test_drawings.py; output/concept/*_rev15.*; output/validation/rev15/views/; output/validation/rev15/drawings/*.pdf; output/validation/rev15/dxf/*.dxf",DRAFT,IMPLEMENTER,"CONCEPT/REFERENCE_ONLY STEP rev15 + rev15 PNG pack + PRELIMINARY PDF/DXF/BOM via scripts/generate_drawings.py; rev13 retained as history"
PLT-016,"Model rebuilds from the parameter file without manual geometry edits","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:514",IN_PROGRESS,"config/parameters.yaml; scripts/generate_model.py","Idempotent rebuild test","tests/test_geometry.py::test_idempotent_rebuild",DRAFT,IMPLEMENTER,"Full parametric rebuild; no manual STEP edits"
PLT-017,"All unmeasured real-world dimensions are explicitly marked, never invented","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:515",IN_PROGRESS,"config/parameters.yaml; PartRecord.verify_on_real_machine","REL-027 exhaustive path set (55 leaves)","tests/test_parameters.py::test_production_release_blocks_on_to_measure_parameters",DRAFT,IMPLEMENTER,"55 intentional to_measure paths (REL-027 live count); not verification progress"
PLT-018,"Side slab front vertical corner radius R20-R30 (TZ section 8 line 230)","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:230",DEVIATED,"src/stand_cad/geometry/panels.py; config/parameters.yaml case.side_slab_bullnose_radius_mm","CAD fillet measurement + pytest bullnose tests","tests/test_geometry.py::test_side_slab_bullnose_radius; R10 at 610 mm clear (D-025/D-027)",DRAFT,IMPLEMENTER,"610 mm clear width retained; widening to 620 rejected (D-027)"
PLT-019,"Handle cutout centred on case centre of mass (TZ section 8 line 235)","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:235",DEVIATED,"config/parameters.yaml hardware.handle_mount_y_mm; hardware.handle_mount_z_mm","CAD placement + loaded CoM comparison","tests/test_geometry.py::test_handle_mount_y_at_loaded_com; handle_mount_y_mm=180.6 mm tracks live CoM Y (D-084 retune); Z=252 mm",DRAFT,IMPLEMENTER,"Owner override (D-051/D-074/D-084): grip at loaded-case balance point; tier-2 finger-intrusion ≈1,515,402 mm³ blocker unchanged (§F)"
PLT-020,"Closed case contains full Silhouette cut travel clearance (356 mm each end)","ИИ советы/Cursor_Opus5_TZ_Light_Plotter_Tower.md:507; operational.material_travel_clearance_mm",DEVIATED,"config/parameters.yaml operational.*; panels rear slots; MEDIA-SUPPORT-L{1,2}-001","Arithmetic + pass-through tests","tests/test_geometry.py::test_pass_through_depth_exceeds_case_envelope; tests/test_geometry.py::test_cutting_extended_tray_front_clearance_below_manufacturer_minimum",DRAFT,IMPLEMENTER,"Structural impossibility: 907 mm > 420 mm depth (D-028/D-045); storage/transport only when closed; cutting via front+rear openings + fixed MEDIA-SUPPORT-L{1,2}-001 glide surfaces and 450×10 mm through-both-panels channel (D-046) — supersedes deleted REARSUPPORT-* external supports"
PLT-021,"Tier 1 tray has a documented minimum 130 mm quick-access forward slide, distinct from full 250 mm service extension","Owner 2026-08-04 instruction (tier-alignment addendum); D-033; D-049 service extension",PASSING,"config/parameters.yaml trays.lower_quick_access_extension_mm; src/stand_cad/geometry/assembly.py build_tray1_quick_access_assembly","CAD dimensioned travel measurement + numeric collision sweep","tests/test_kinematics.py::test_tray1_quick_access_forward_travel_is_130mm; test_numeric_collision_clearance[tray1_quick_access]; test_open_door_service_states_collision_clear[tray1_quick_access-build_tray1_quick_access_assembly]; output/validation/rev15/views/tray1_quick_access_iso.png",DRAFT,IMPLEMENTER,"PASSING: trays.lower_quick_access_extension_mm=130 mm implemented and exercised by kinematic/collision tests; distinct from 250 mm full-service extension per D-049 (supersedes D-048 interim 200 mm)"
PLT-022,"Tier-2 under-tray hardware clears plotter 1 envelope at all tray-1 travel positions (F-5)","docs/10_USER_INPUT_REQUIRED.md §H; D-038",IN_PROGRESS,"config/parameters.yaml plotter.upper_z; src/stand_cad/parameters.py computed_upper_z_mm","Scripted intersection_volume at 7 hardware parts × 5 tray-1 positions","tests/test_kinematics.py::test_plotter1_clear_of_tier2_under_tray_hardware; D-058 envelope 529 mm",DRAFT,IMPLEMENTER,"upper_z 211→238 reserves slide+profile+tray stack; D-038 case.height 517→544 mm (historical); D-058 544→529 mm current; zero intersection confirmed at rev15"
